country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,totalTests,testsPerOneMillion
World,7150145,67547,407584,2501,3493100.0,3249461.0,53755,917,52,0,0
USA,2015348,7899,112738,269,765622.0,1136988.0,16897,6091,341,21519436,65037
Brazil,694116,2154,37312,813,302084.0,354720.0,8318,3267,176,999836,4706
Russia,476658,8985,5971,112,230688.0,239999.0,2300,3266,41,13016023,89193
Spain,288797,167,27136,0,,,617,6177,580,4465338,95508
UK,287399,1205,40597,55,,,516,4235,598,5731576,84457
India,265869,8383,7473,266,129088.0,129308.0,8944,193,5,4774434,3462
Italy,235278,280,33964,65,166584.0,34730.0,283,3891,562,4236535,70063
Peru,196515,0,5465,0,86219.0,104831.0,1062,5966,166,1191956,36185
Germany,186149,280,8783,7,169600.0,7766.0,540,2222,105,4348880,51916
Iran,173832,2043,8351,70,136360.0,29121.0,2619,2071,100,1107254,13194
Turkey,171121,989,4711,19,141380.0,25030.0,625,2030,56,2377954,28215
France,154188,211,29209,54,71062.0,53917.0,1024,2363,448,1384633,21216
Chile,138846,4696,2264,74,95631.0,40951.0,1558,7267,118,728815,38147
Mexico,117103,3484,13699,188,84419.0,18985.0,378,909,106,336395,2611
Saudi Arabia,105283,3369,746,34,74524.0,30013.0,1632,3027,21,976815,28088
Pakistan,103671,4728,2067,65,34355.0,67249.0,111,470,9,705833,3200
Canada,96140,441,7830,30,54473.0,33837.0,1816,2549,208,1896822,50286
Qatar,70158,1368,57,3,45935.0,24166.0,241,24987,20,259646,92473
Bangladesh,68504,2735,930,42,14560.0,53014.0,1,416,6,410841,2496
Belgium,59348,122,9606,11,16315.0,33427.0,116,5122,829,949675,81964
Belarus,49453,823,276,7,23880.0,25297.0,92,5233,29,632993,66987
South Africa,48285,0,998,0,24364.0,22923.0,208,815,17,920064,15526
Netherlands,47739,165,6016,3,,,92,2786,351,414550,24197
Sweden,45133,68,4694,35,,,298,4471,465,275500,27290
Ecuador,43378,258,3642,21,21020.0,18716.0,228,2461,207,127576,7238
UAE,39376,568,281,5,22275.0,16820.0,1,3984,28,2500000,252973
Colombia,39236,0,1259,0,15322.0,22655.0,335,772,25,410719,8077
Singapore,38296,386,25,0,25368.0,12903.0,4,6549,4,408495,69859
Portugal,34885,192,1485,6,21156.0,12244.0,55,3421,146,873998,85699
